epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.7907,3.23031,4.21384,2.16563,0.00029,0.01869,0.00015,4e-05,2.95856,4.25558,2.15879,2e-05,2e-05,2e-05
2,41.1128,2.78603,3.99356,2.01441,0.00043,0.02804,0.00023,7e-05,2.71072,4.19801,1.96598,5.9802e-05,5.9802e-05,5.9802e-05
3,61.6718,2.89115,3.86514,1.88981,0.00159,0.1028,0.00092,0.0002,2.56356,4.09748,1.81713,9.934e-05,9.934e-05,9.934e-05
4,80.4297,2.49435,3.66641,1.67582,0.00435,0.28037,0.00367,0.00087,2.35883,3.991,1.62834,0.000138614,0.000138614,0.000138614
5,99.4414,2.35131,3.4032,1.54147,0.00884,0.57009,0.01202,0.00367,2.14383,3.84716,1.47503,0.000177624,0.000177624,0.000177624
6,118.552,2.1584,2.89879,1.39036,0.01304,0.84112,0.02675,0.00909,2.02764,3.64391,1.3439,0.00021637,0.00021637,0.00021637
7,138.646,2.21195,2.30297,1.37449,0.01536,0.99065,0.0348,0.01363,1.98301,3.47142,1.24451,0.000254852,0.000254852,0.000254852
8,157.785,2.23057,1.92638,1.33763,0.01507,0.97196,0.08804,0.02794,2.02284,3.42778,1.23012,0.00029307,0.00029307,0.00029307
9,176.996,1.97896,1.83286,1.27503,0.01522,0.98131,0.13744,0.04406,2.03941,3.42154,1.22669,0.000331024,0.000331024,0.000331024
10,197.1,1.94907,1.7508,1.27609,0.01507,0.97196,0.1927,0.05234,1.95245,3.35334,1.1744,0.000368714,0.000368714,0.000368714
11,217.34,1.94558,1.63663,1.2524,0.01536,0.99065,0.20753,0.04908,1.81583,3.27543,1.13768,0.00040614,0.00040614,0.00040614
12,237.287,1.9925,1.61505,1.33498,0.01536,0.99065,0.22521,0.0432,1.77286,3.27682,1.15273,0.000443302,0.000443302,0.000443302
13,256.722,1.97289,1.42071,1.26373,0.01522,0.98131,0.06761,0.01673,1.77465,3.28414,1.17868,0.0004802,0.0004802,0.0004802
14,276.092,1.8959,1.40567,1.23077,0.01522,0.98131,0.02435,0.00872,1.8045,3.31104,1.19787,0.000516834,0.000516834,0.000516834
15,296.094,1.80272,1.44646,1.26161,0.01522,0.98131,0.02495,0.00967,1.76131,3.25269,1.17872,0.000553204,0.000553204,0.000553204
16,315.576,1.81967,1.34619,1.23413,0.01522,0.98131,0.11463,0.06845,1.65806,3.13031,1.14531,0.00058931,0.00058931,0.00058931
17,335.367,1.82963,1.41141,1.20203,0.01464,0.94393,0.12394,0.07202,1.68357,3.06881,1.15134,0.000625152,0.000625152,0.000625152
18,355.193,1.72963,1.19638,1.1678,0.0142,0.91589,0.06882,0.04106,1.63571,3.083,1.12753,0.00066073,0.00066073,0.00066073
19,374.866,1.83245,1.3174,1.14619,0.01232,0.79439,0.04366,0.02479,1.55782,3.06822,1.09444,0.000696044,0.000696044,0.000696044
20,394.17,1.81503,1.20297,1.19723,0.01319,0.85047,0.05881,0.03061,1.55168,3.02803,1.08843,0.000731094,0.000731094,0.000731094
21,412.735,1.6799,1.12364,1.21361,0.01377,0.88785,0.05489,0.02832,1.59234,3.00027,1.08738,0.00076588,0.00076588,0.00076588
22,432.349,1.74592,1.17875,1.13805,0.01493,0.96262,0.09137,0.04823,1.59896,2.97696,1.07955,0.000800402,0.000800402,0.000800402
23,452.114,1.53263,1.12227,1.17135,0.01536,0.99065,0.15142,0.08073,1.49514,2.93995,1.05345,0.00083466,0.00083466,0.00083466
24,471.899,1.57741,1.04797,1.10923,0.01551,1,0.20697,0.09844,1.48363,2.84948,1.06243,0.000868654,0.000868654,0.000868654
25,491.693,1.78092,1.18349,1.16871,0.01551,1,0.25558,0.11806,1.54025,2.86877,1.09344,0.000902384,0.000902384,0.000902384
